+++++++++++++++++ MAXIMUM GAP LENGTH 50 50
the 1th path length 37
>LOCALE p-value : 0.00

the 20th path length 6
Os10g2333 2333.00 Bdi1g6580 6580.00 1
Os10g2335 2335.00 Bdi1g6583 6583.00 -1
Os10g2351 2351.00 Bdi1g6599 6599.00 1
Os10g2392 2392.00 Bdi1g6641 6641.00 1
Os10g2395 2395.00 Bdi1g6661 6661.00 -1
Os10g2399 2399.00 Bdi1g6698 6698.00 -1
>LOCALE p-value : 0.00

the 21th path length 6
Os10g1041 1041.00 Bdi1g9259 9259.00 -1
Os10g1042 1042.00 Bdi1g9262 9262.00 1
Os10g1050 1050.00 Bdi1g9268 9268.00 1
Os10g1078 1078.00 Bdi1g9277 9277.00 1
Os10g1081 1081.00 Bdi1g9282 9282.00 1
Os10g1089 1089.00 Bdi1g9293 9293.00 -1
>LOCALE p-value : 0.00

the 22th path length 5
Os10g0219 219.00 Bdi1g4485 4485.00 -1
Os10g0218 218.00 Bdi1g4487 4487.00 -1
Os10g0215 215.00 Bdi1g4491 4491.00 -1
Os10g0212 212.00 Bdi1g4497 4497.00 1
Os10g0162 162.00 Bdi1g4501 4501.00 1
>LOCALE p-value : 0.00

the 23th path length 5
Os10g0791 791.00 Bdi1g1082 1082.00 1
Os10g0789 789.00 Bdi1g1084 1084.00 1
Os10g0787 787.00 Bdi1g1085 1085.00 1
Os10g0786 786.00 Bdi1g1086 1086.00 1
Os10g0740 740.00 Bdi1g1088 1088.00 -1
>LOCALE p-value : 0.00

the 24th path length 5
Os10g1193 1193.00 Bdi1g5899 5899.00 -1
Os10g1171 1171.00 Bdi1g5928 5928.00 -1
Os10g1170 1170.00 Bdi1g5933 5933.00 -1
Os10g1154 1154.00 Bdi1g5950 5950.00 1
Os10g1104 1104.00 Bdi1g5979 5979.00 1
>LOCALE p-value : 0.00

the 25th path length 5
Os10g1205 1205.00 Bdi1g7776 7776.00 -1
Os10g1193 1193.00 Bdi1g7782 7782.00 -1
Os10g1180 1180.00 Bdi1g7793 7793.00 -1
Os10g1163 1163.00 Bdi1g7818 7818.00 -1
Os10g1119 1119.00 Bdi1g7846 7846.00 1
>LOCALE p-value : 0.00

the 26th path length 5
Os10g1557 1557.00 Bdi1g0068 68.00 1
Os10g1542 1542.00 Bdi1g0077 77.00 1
Os10g1521 1521.00 Bdi1g0084 84.00 -1
Os10g1507 1507.00 Bdi1g0087 87.00 1
Os10g1459 1459.00 Bdi1g0088 88.00 1
>LOCALE p-value : 0.00

the 27th path length 5
Os10g1755 1755.00 Bdi1g4229 4229.00 1
Os10g1736 1736.00 Bdi1g4246 4246.00 -1
Os10g1723 1723.00 Bdi1g4250 4250.00 1
Os10g1682 1682.00 Bdi1g4299 4299.00 -1
Os10g1640 1640.00 Bdi1g4301 4301.00 1
>LOCALE p-value : 0.00

the 28th path length 4
Os10g2054 2054.00 Bdi1g6372 6372.00 -1
Os10g2079 2079.00 Bdi1g6399 6399.00 1
Os10g2080 2080.00 Bdi1g6404 6404.00 -1
Os10g2130 2130.00 Bdi1g6426 6426.00 1
>LOCALE p-value : 0.00

the 29th path length 4
>LOCALE p-value : 0.00
overlap with block 3+1th

the 30th path length 4
>LOCALE p-value : 0.15
overlap with block 24+1th

the 31th path length 4
Os10g1259 1259.00 Bdi1g8614 8614.00 1
Os10g1303 1303.00 Bdi1g8659 8659.00 1
Os10g1325 1325.00 Bdi1g8697 8697.00 -1
Os10g1335 1335.00 Bdi1g8723 8723.00 -1
>LOCALE p-value : 0.01

the 32th path length 4
Os10g1008 1008.00 Bdi1g7545 7545.00 -1
Os10g1017 1017.00 Bdi1g7565 7565.00 -1
Os10g1019 1019.00 Bdi1g7568 7568.00 -1
Os10g1023 1023.00 Bdi1g7571 7571.00 1
>LOCALE p-value : 0.00

the 33th path length 4
>LOCALE p-value : 0.01
overlap with block 10+1th

the 34th path length 4
>LOCALE p-value : 0.56
overlap with block 20+1th

the 35th path length 4
Os10g0008 8.00 Bdi1g1298 1298.00 1
Os10g0025 25.00 Bdi1g1332 1332.00 1
Os10g0029 29.00 Bdi1g1335 1335.00 -1
Os10g0030 30.00 Bdi1g1337 1337.00 1
>LOCALE p-value : 0.00

+++++++++++++++++ MAXIMUM GAP LENGTH 50 50
the 1th path length 517
Os10g1189 1189.00 Bdi3g3121 3121.00 -1
Os10g1234 1234.00 Bdi3g3134 3134.00 1
Os10g1268 1268.00 Bdi3g3143 3143.00 -1
Os10g1307 1307.00 Bdi3g3180 3180.00 1
Os10g1309 1309.00 Bdi3g3181 3181.00 1
Os10g1313 1313.00 Bdi3g3185 3185.00 1
Os10g1314 1314.00 Bdi3g3186 3186.00 1
Os10g1318 1318.00 Bdi3g3189 3189.00 1
Os10g1322 1322.00 Bdi3g3195 3195.00 1
Os10g1326 1326.00 Bdi3g3197 3197.00 1
Os10g1332 1332.00 Bdi3g3200 3200.00 1
Os10g1334 1334.00 Bdi3g3204 3204.00 1
Os10g1335 1335.00 Bdi3g3205 3205.00 1
Os10g1336 1336.00 Bdi3g3206 3206.00 1
Os10g1338 1338.00 Bdi3g3208 3208.00 1
Os10g1340 1340.00 Bdi3g3214 3214.00 1
Os10g1341 1341.00 Bdi3g3215 3215.00 1
Os10g1342 1342.00 Bdi3g3216 3216.00 1
Os10g1343 1343.00 Bdi3g3217 3217.00 1
Os10g1344 1344.00 Bdi3g3219 3219.00 1
Os10g1345 1345.00 Bdi3g3220 3220.00 -1
Os10g1347 1347.00 Bdi3g3222 3222.00 1
Os10g1354 1354.00 Bdi3g3223 3223.00 1
Os10g1355 1355.00 Bdi3g3224 3224.00 1
Os10g1356 1356.00 Bdi3g3225 3225.00 1
Os10g1357 1357.00 Bdi3g3226 3226.00 1
Os10g1363 1363.00 Bdi3g3227 3227.00 1
Os10g1364 1364.00 Bdi3g3228 3228.00 1
Os10g1365 1365.00 Bdi3g3229 3229.00 1
Os10g1367 1367.00 Bdi3g3231 3231.00 1
Os10g1368 1368.00 Bdi3g3236 3236.00 1
Os10g1372 1372.00 Bdi3g3238 3238.00 1
Os10g1373 1373.00 Bdi3g3239 3239.00 1
Os10g1374 1374.00 Bdi3g3240 3240.00 1
Os10g1388 1388.00 Bdi3g3241 3241.00 1
Os10g1392 1392.00 Bdi3g3242 3242.00 1
Os10g1393 1393.00 Bdi3g3243 3243.00 1
Os10g1396 1396.00 Bdi3g3244 3244.00 1
Os10g1397 1397.00 Bdi3g3246 3246.00 1
Os10g1399 1399.00 Bdi3g3251 3251.00 -1
Os10g1402 1402.00 Bdi3g3252 3252.00 -1
Os10g1413 1413.00 Bdi3g3253 3253.00 1
Os10g1449 1449.00 Bdi3g3255 3255.00 1
Os10g1452 1452.00 Bdi3g3256 3256.00 1
Os10g1454 1454.00 Bdi3g3258 3258.00 1
Os10g1458 1458.00 Bdi3g3261 3261.00 1
Os10g1459 1459.00 Bdi3g3262 3262.00 1
Os10g1488 1488.00 Bdi3g3268 3268.00 1
Os10g1489 1489.00 Bdi3g3269 3269.00 1
Os10g1490 1490.00 Bdi3g3271 3271.00 1
Os10g1491 1491.00 Bdi3g3274 3274.00 1
Os10g1492 1492.00 Bdi3g3275 3275.00 1
Os10g1496 1496.00 Bdi3g3276 3276.00 1
Os10g1497 1497.00 Bdi3g3278 3278.00 1
Os10g1499 1499.00 Bdi3g3315 3315.00 1
Os10g1500 1500.00 Bdi3g3316 3316.00 1
Os10g1501 1501.00 Bdi3g3317 3317.00 1
Os10g1502 1502.00 Bdi3g3318 3318.00 1
Os10g1506 1506.00 Bdi3g3320 3320.00 1
Os10g1507 1507.00 Bdi3g3321 3321.00 1
Os10g1508 1508.00 Bdi3g3322 3322.00 1
Os10g1509 1509.00 Bdi3g3323 3323.00 1
Os10g1510 1510.00 Bdi3g3324 3324.00 -1
Os10g1511 1511.00 Bdi3g3325 3325.00 -1
Os10g1514 1514.00 Bdi3g3328 3328.00 1
Os10g1516 1516.00 Bdi3g3332 3332.00 1
Os10g1521 1521.00 Bdi3g3340 3340.00 1
Os10g1525 1525.00 Bdi3g3343 3343.00 1
Os10g1526 1526.00 Bdi3g3344 3344.00 1
Os10g1527 1527.00 Bdi3g3345 3345.00 1
Os10g1528 1528.00 Bdi3g3346 3346.00 1
Os10g1529 1529.00 Bdi3g3347 3347.00 1
Os10g1531 1531.00 Bdi3g3350 3350.00 1
Os10g1532 1532.00 Bdi3g3351 3351.00 1
Os10g1533 1533.00 Bdi3g3352 3352.00 1
Os10g1536 1536.00 Bdi3g3353 3353.00 1
Os10g1539 1539.00 Bdi3g3355 3355.00 1
Os10g1540 1540.00 Bdi3g3356 3356.00 1
Os10g1542 1542.00 Bdi3g3357 3357.00 -1
Os10g1546 1546.00 Bdi3g3358 3358.00 1
Os10g1547 1547.00 Bdi3g3359 3359.00 1
Os10g1548 1548.00 Bdi3g3360 3360.00 1
Os10g1549 1549.00 Bdi3g3361 3361.00 1
Os10g1553 1553.00 Bdi3g3363 3363.00 1
Os10g1557 1557.00 Bdi3g3369 3369.00 1
Os10g1558 1558.00 Bdi3g3372 3372.00 1
Os10g1559 1559.00 Bdi3g3374 3374.00 1
Os10g1594 1594.00 Bdi3g3386 3386.00 1
Os10g1595 1595.00 Bdi3g3387 3387.00 -1
Os10g1596 1596.00 Bdi3g3389 3389.00 1
Os10g1597 1597.00 Bdi3g3390 3390.00 1
Os10g1598 1598.00 Bdi3g3391 3391.00 1
Os10g1599 1599.00 Bdi3g3392 3392.00 1
Os10g1601 1601.00 Bdi3g3393 3393.00 1
Os10g1603 1603.00 Bdi3g3394 3394.00 1
Os10g1604 1604.00 Bdi3g3396 3396.00 1
Os10g1606 1606.00 Bdi3g3399 3399.00 1
Os10g1607 1607.00 Bdi3g3400 3400.00 1
Os10g1608 1608.00 Bdi3g3401 3401.00 1
Os10g1609 1609.00 Bdi3g3402 3402.00 1
Os10g1617 1617.00 Bdi3g3411 3411.00 1
Os10g1619 1619.00 Bdi3g3412 3412.00 1
Os10g1621 1621.00 Bdi3g3413 3413.00 -1
Os10g1622 1622.00 Bdi3g3415 3415.00 1
Os10g1629 1629.00 Bdi3g3418 3418.00 -1
Os10g1640 1640.00 Bdi3g3420 3420.00 1
Os10g1641 1641.00 Bdi3g3424 3424.00 1
Os10g1642 1642.00 Bdi3g3425 3425.00 1
Os10g1643 1643.00 Bdi3g3426 3426.00 1
Os10g1647 1647.00 Bdi3g3428 3428.00 1
Os10g1648 1648.00 Bdi3g3429 3429.00 1
Os10g1649 1649.00 Bdi3g3430 3430.00 1
Os10g1650 1650.00 Bdi3g3431 3431.00 1
Os10g1653 1653.00 Bdi3g3432 3432.00 1
Os10g1655 1655.00 Bdi3g3435 3435.00 1
Os10g1656 1656.00 Bdi3g3436 3436.00 1
Os10g1660 1660.00 Bdi3g3437 3437.00 1
Os10g1661 1661.00 Bdi3g3438 3438.00 1
Os10g1662 1662.00 Bdi3g3440 3440.00 1
Os10g1664 1664.00 Bdi3g3441 3441.00 1
Os10g1665 1665.00 Bdi3g3443 3443.00 1
Os10g1666 1666.00 Bdi3g3444 3444.00 1
Os10g1667 1667.00 Bdi3g3445 3445.00 1
Os10g1668 1668.00 Bdi3g3446 3446.00 1
Os10g1670 1670.00 Bdi3g3447 3447.00 1
Os10g1673 1673.00 Bdi3g3457 3457.00 1
Os10g1674 1674.00 Bdi3g3460 3460.00 1
Os10g1675 1675.00 Bdi3g3461 3461.00 1
Os10g1676 1676.00 Bdi3g3465 3465.00 -1
Os10g1682 1682.00 Bdi3g3467 3467.00 -1
Os10g1688 1688.00 Bdi3g3470 3470.00 1
Os10g1692 1692.00 Bdi3g3471 3471.00 1
Os10g1693 1693.00 Bdi3g3472 3472.00 1
Os10g1694 1694.00 Bdi3g3473 3473.00 1
Os10g1695 1695.00 Bdi3g3476 3476.00 1
Os10g1697 1697.00 Bdi3g3478 3478.00 1
Os10g1698 1698.00 Bdi3g3479 3479.00 1
